from,to,similarity
850,1004,0.90263
189,746,0.9225
908,1003,0.96253
408,872,0.90028
878,1106,0.90996
486,1030,0.90422
449,1144,0.92512
86,791,0.90661
820,944,0.90782
782,1164,0.91523
429,578,0.90496
614,752,0.9057
33,789,0.90554
429,636,0.9022
260,480,0.9169
767,901,0.91277
61,145,0.9334
665,1158,0.92717
520,725,0.90464
574,1106,0.91382
347,846,0.939
691,1059,0.90767
876,901,0.92257
553,569,0.92599
762,874,0.90596
393,590,0.90486
490,878,0.90367
143,615,0.9277
305,712,0.93153
118,794,0.90989
665,817,0.90534
220,548,0.95988
593,1106,0.92927
1138,1164,0.90855
6,353,0.90224
428,665,0.90545
18,669,0.909
42,488,0.90036
448,476,0.90963
92,1026,0.91047
593,746,0.90416
870,878,0.92992
787,1012,0.91048
742,1082,0.90232
579,1090,0.90543
81,82,0.9124
102,366,0.92073
691,997,0.90822
196,406,0.92215
252,785,0.92283
89,496,0.91797
625,835,0.9162
423,487,0.92987
552,553,0.92638
31,35,0.9196
587,703,0.95345
321,1104,0.90697
574,878,0.92707
573,997,0.92539
175,210,0.94228
181,436,0.91168
214,643,0.91827
253,784,0.91183
587,1076,0.99992
598,782,0.90748
460,1093,0.90697
691,980,0.91104
717,812,0.91497
344,349,0.91935
896,1091,0.90247
311,378,0.92513
82,795,0.90462
81,436,0.92356
490,574,0.93268
318,563,0.92162
25,69,0.96768
835,1008,0.91319
244,245,0.90345
600,1153,0.90897
667,1007,0.9104
1106,1112,0.9658
288,862,0.91036
73,358,0.93402
552,812,0.92503
789,909,0.92723
309,754,0.93073
287,1103,0.90034
636,980,0.91602
1109,1152,0.90727
578,636,0.9235
82,509,0.90376
762,1127,0.90266
691,827,0.92656
520,1029,0.91718
354,546,0.95358
429,878,0.90292
21,554,0.93617
660,820,0.91367
60,865,0.9099
367,783,0.91268
405,429,0.92194
593,636,0.92299
839,1006,0.90198
372,762,0.98172
133,1163,0.96633
807,838,0.9076
307,597,0.92128
372,428,0.91527
429,1112,0.93192
404,667,0.90336
566,760,0.90646
73,543,0.90058
378,927,0.98057
445,700,0.93402
10,90,0.90898
583,1031,0.9048
59,386,0.92877
905,927,0.9302
72,835,0.91165
28,144,0.90999
64,799,0.9425
578,1112,0.91248
38,485,0.93474
94,1014,0.96949
34,263,0.90022
32,52,0.91146
19,42,0.91544
122,1100,0.90845
286,288,0.92503
73,536,0.91756
406,773,0.97254
201,530,0.90748
90,857,0.92085
816,1171,0.90276
342,1058,0.90958
515,785,0.92624
588,1185,0.91717
118,394,0.92531
349,460,0.91948
134,288,0.92008
311,927,0.93353
590,1051,0.93607
34,366,0.90004
59,145,0.91958
372,458,0.90132
563,582,0.91432
459,835,0.90445
573,827,0.93143
153,426,0.9132
807,1138,0.90288
839,871,0.92446
593,1112,0.90221
678,1023,0.9136
725,880,0.90274
495,797,0.90032
912,1051,0.9019
41,664,0.90893
593,1158,0.90096
493,617,0.91972
817,870,0.90525
625,893,0.90192
878,1138,0.95824
486,1004,0.90955
964,977,0.92908
74,1144,0.93873
186,721,0.90043
490,1127,0.91495
842,1170,0.92451
902,997,0.97367
1127,1151,0.94316
758,1051,0.90536
1007,1105,0.91699
914,981,0.99999
618,629,0.9127
490,607,0.90788
431,509,0.90002
47,622,0.91152
582,741,0.92536
404,552,0.92915
426,747,0.94009
22,126,0.93755
401,990,0.90303
570,868,0.90164
1107,1133,0.91435
73,785,0.90525
25,1088,0.96768
693,788,0.90086
520,851,0.92446
598,812,0.91098
785,916,0.90177
532,636,0.91604
25,282,0.90752
45,114,0.92375
232,566,0.91238
423,817,0.9188
633,983,0.9018
751,818,0.90204
